State
11 without flexible A + 9
9 without flexible A + 8
21 with flexible A + 9
8 without flexible A + 4
15 with flexible A + 4
20 with flexible A + 4
8 without flexible A + 6
10 without flexible A + 6
21 with flexible A + 5
9 without flexible A + 2
18 with flexible A + 4
15 with flexible A + 5
11 without flexible A + 10
10 without flexible A + 10
11 without flexible A + 8
19 with flexible A + 6
10 without flexible A + 2
21 with flexible A + 2
15 with flexible A + 2
11 without flexible A + 5
21 with flexible A + 3
21 with flexible A + 8
10 without flexible A + 8
10 without flexible A + 3
21 with flexible A + 10
18 with flexible A + 6
20 with flexible A + 7
16 with flexible A + 6
21 with flexible A + 6
10 without flexible A + 4
21 with flexible A + 4
20 with flexible A + 8
10 without flexible A + 5
9 without flexible A + 6
20 with flexible A + 6
20 with flexible A + 3
9 without flexible A + 4
11 without flexible A + 2
12 with flexible A + 6
15 with flexible A + 6
17 with flexible A + 6
21 with flexible A + 7
11 without flexible A + 4
12 with flexible A + 5
19 with flexible A + 7
19 with flexible A + 5
18 with flexible A + 7
11 without flexible A + 6
10 without flexible A + 7
20 with flexible A + 9
14 with flexible A + 2
9 without flexible A + 3
11 without flexible A + 3
11 without flexible A + 7
9 without flexible A + 7
13 with flexible A + 2
18 with flexible A + 2
16 with flexible A + 2
12 with flexible A + 2
19 with flexible A + 3
17 with flexible A + 5
18 with flexible A + 5
10 without flexible A + 9
14 with flexible A + 6
20 with flexible A + 5
13 with flexible A + 4
9 without flexible A + 5
19 with flexible A + 4
15 with flexible A + 3
16 with flexible A + 3
13 with flexible A + 6
19 with flexible A + 2
20 with flexible A + 2
16 with flexible A + 4
8 without flexible A + 5
16 with flexible A + 5
14 with flexible A + 5
19 with flexible A + 8
18 with flexible A + 3
14 with flexible A + 4
13 with flexible A + 5
13 with flexible A + 3
12 with flexible A + 3
12 with flexible A + 4
14 with flexible A + 3
9 without flexible A + 9
14 without flexible A + 9
13 without flexible A + 8
12 without flexible A + 6
13 without flexible A + 6
12 without flexible A + 3
12 without flexible A + 9
14 without flexible A + 7
14 without flexible A + 4
10 without flexible A + A
12 without flexible A + 10
14 without flexible A + 10
9 without flexible A + 10
12 without flexible A + 4
13 without flexible A + 4
6 without flexible A + 2
13 without flexible A + 2
13 without flexible A + 3
6 without flexible A + 10
14 without flexible A + 6
13 with flexible A + A
13 without flexible A + A
14 without flexible A + A
7 without flexible A + 10
17 with flexible A + 9
4 without flexible A + 2
12 without flexible A + 2
13 without flexible A + 10
7 without flexible A + 9
13 without flexible A + 9
12 without flexible A + 8
14 without flexible A + 8
12 with flexible A + A
12 without flexible A + A
8 without flexible A + 8
13 without flexible A + 7
12 without flexible A + 7
14 without flexible A + 2
7 without flexible A + 4
12 without flexible A + 5
17 with flexible A + 10
18 with flexible A + 10
8 without flexible A + 7
7 without flexible A + A
11 without flexible A + A
14 without flexible A + 5
5 without flexible A + 9
8 without flexible A + 3
6 without flexible A + 8
17 with flexible A + 4
19 with flexible A + 10
17 with flexible A + 2
13 with flexible A + 10
4 without flexible A + 10
20 with flexible A + 10
5 without flexible A + A
4 without flexible A + 4
14 with flexible A + 7
7 without flexible A + 3
17 with flexible A + 8
13 without flexible A + 5
14 with flexible A + 8
19 with flexible A + 9
6 without flexible A + A
14 with flexible A + 10
5 without flexible A + 2
20 with flexible A + A
14 without flexible A + 3
4 without flexible A + 5
6 without flexible A + 5
15 with flexible A + 7
15 with flexible A + 10
7 without flexible A + 7
9 without flexible A + A
14 with flexible A + 9
16 with flexible A + 9
17 with flexible A + 7
18 with flexible A + 8
5 without flexible A + 3
18 with flexible A + A
18 with flexible A + 9
6 without flexible A + 7
5 without flexible A + 4
16 with flexible A + 10
7 without flexible A + 6
8 without flexible A + 10
16 with flexible A + 7
12 with flexible A + 7
6 without flexible A + 6
8 without flexible A + 9
7 without flexible A + 8
13 with flexible A + 9
14 with flexible A + A
19 with flexible A + A
5 without flexible A + 10
7 without flexible A + 2
6 without flexible A + 4
15 with flexible A + 9
8 without flexible A + A
15 with flexible A + 8
6 without flexible A + 3
12 with flexible A + 9
7 without flexible A + 5
12 with flexible A + 10
4 without flexible A + 7
8 without flexible A + 2
5 without flexible A + 6
16 with flexible A + 8
21 with flexible A + A
4 without flexible A + 9
17 with flexible A + A
5 without flexible A + 7
16 with flexible A + A
13 with flexible A + 8
4 without flexible A + 8
4 without flexible A + 6
13 with flexible A + 7
5 without flexible A + 8
17 with flexible A + 3
15 with flexible A + A
6 without flexible A + 9
12 with flexible A + 8
4 without flexible A + 3
4 without flexible A + A
5 without flexible A + 5
15 without flexible A + 7
16 without flexible A + 10
15 without flexible A + 10
17 without flexible A + A
15 without flexible A + 9
16 without flexible A + 9
16 without flexible A + A
16 without flexible A + 8
15 without flexible A + 8
15 without flexible A + A
16 without flexible A + 7
